,Triangle_index,Size,Angle.C,Angle.B,Angle.A,Side.A_B,SideC_A,Side.B_C,Total_size,Hand,Vision,Type,Angle.Type,Full.Type,duration,Trial_number,subjID,subjposC_x,subjposC_y,AC_angle,AC_dist,SubjAC_angle,SubjAC_dist,DistError,AngleError,M1AE,M1DE,M2AE,M2DE,EEMAE,EEMDE
76,3,10,60,90,30,8.660254038,10,5,23.66025404,RH,off,right,right,60-90-30,49.045,10,AT07,4.2344,8.8994,205.4454488,9.851412173,16.87784995,7.150083441,0.725792741,171.4324011,152.542765,0.624658355,159.8981311,0.683287014,12.98172135,0.111365709
77,4,10,60,75,45,8.965754722,10,7.320508076,26.2862628,RH,off,scale,acute,60-75-45,55.6118,21,AT07,6.1145,7.1175,220.6652072,9.378279565,13.8794284,6.349557179,0.677049254,153.2142212,125.824944,0.754351059,130.7768722,0.896137518,161.7949106,0.153220726
78,5,10,45,90,45,7.071067812,10,7.071067812,24.14213562,RH,off,iso-right,iso-right,45-90-45,52.6301,3,AT07,6.0189,7.079,220.3727586,9.286317145,354.3933464,7.247972303,0.780500191,134.0205879,131.3274689,0.541360422,148.8457632,0.688722039,16.4351574,0.17900397
79,6,10,60,60,60,10,10,10,30,RH,off,equil,acute,60-60-60,58.9743,4,AT07,8.1153,5.3692,236.5108016,9.809056081,17.19470058,8.14357114,0.830209459,140.683899,113.0555778,0.688985805,120.0569725,0.928941824,-169.1751628,0.175009212
80,7,10,60,100,20,8.793852416,10,3.472963553,22.26681597,LH,off,scale,obtuse,60-100-20,52.8195,16,AT07,2.8204,-9.3981,343.2953306,9.745051711,196.1385261,9.368593127,0.961369257,147.1568045,150.5749371,0.663003081,156.0495308,0.75668685,23.80773913,0.221908051
81,8,10,30,120,30,5.773502692,10,5.773502692,21.54700538,LH,off,iso,obtuse,30-120-30,50.7869,5,AT07,4.1808,-8.4134,333.576227,9.301028389,196.8749334,7.516768695,0.808165332,136.7012936,134.2899458,0.400935248,141.1231172,0.532577013,10.95727588,0.571050876
82,10,10,60,90,30,8.660254038,10,5,23.66025404,LH,off,right,right,60-90-30,50.8994,11,AT07,3.6636,-8.596,336.9163828,9.335558904,169.8700912,7.791395588,0.834593372,167.0462917,151.815819,0.686038879,159.8549677,0.840884075,-6.08416636,0.194552497
83,11,10,60,75,45,8.965754722,10,7.320508076,26.2862628,LH,off,scale,acute,60-75-45,51.2557,13,AT07,6.0876,-7.3279,320.2821374,9.535353969,181.3189018,6.450986272,0.676533487,138.9632356,125.7174371,0.659763265,133.4391921,0.784478888,-177.091908,0.104414735
84,12,10,45,90,45,7.071067812,10,7.071067812,24.14213562,LH,off,iso-right,iso-right,45-90-45,67.3743,1,AT07,6.5699,-7.0855,317.1623444,9.645718886,176.3499799,8.56086545,0.887530059,140.8123644,133.2782151,0.510975422,143.680825,0.616959192,4.557641098,0.134018546
85,13,10,60,60,60,10,10,10,30,LH,off,equil,acute,60-60-60,98.5255,24,AT07,7.7119,-5.401,305.0053313,9.375175347,212.3181237,9.381776625,1.000704123,92.68720763,107.5829039,0.840313772,118.1768368,0.832033556,149.0687137,0.290422175
86,15,10,30,120,30,5.773502692,10,5.773502692,21.54700538,RH,on,iso,obtuse,30-120-30,48.6424,17,AT07,4.1307,8.4773,205.9783995,9.383207649,313.2461622,7.379163797,0.786422306,107.2677627,132.4342207,0.445348376,140.7860219,0.714059739,2.673638331,0.602156831
87,17,10,60,90,30,8.660254038,10,5,23.66025404,RH,on,right,right,60-90-30,47.6936,15,AT07,4.2624,9.0654,205.1821276,9.936036736,356.3571674,5.973571675,0.601202656,151.1750397,140.9904683,0.776890321,148.7744907,0.851516012,9.768351841,0.179269751
88,18,10,60,75,45,8.965754722,10,7.320508076,26.2862628,RH,on,scale,acute,60-75-45,53.8026,25,AT07,6.0025,7.4814,218.740877,9.584564304,4.966312529,7.215385313,0.752813074,146.2254355,114.0523212,0.678031539,123.1751569,0.815622452,-105.0785903,0.111771049
89,19,10,45,90,45,7.071067812,10,7.071067812,24.14213562,RH,on,iso-right,iso-right,45-90-45,61.4094,6,AT07,6.4939,7.7079,220.1141128,10.07016785,5.896106039,5.70748331,0.566771418,145.7819932,120.7293274,0.584880313,135.2349008,0.826080762,-7.292007011,0.142345012
90,20,10,60,60,60,10,10,10,30,RH,on,equil,acute,60-60-60,53.0093,23,AT07,8.2984,5.5991,235.9916558,10.07890628,18.16077295,8.866213673,0.879680139,142.1691171,111.5701207,0.753080217,120.6102975,0.77647928,122.4404727,0.256900227
91,21,10,60,100,20,8.793852416,10,3.472963553,22.26681597,LH,on,scale,obtuse,60-100-20,32.491,20,AT07,2.3316,-9.0081,345.4883935,9.191899886,205.3055998,4.573908723,0.497602104,140.1827937,156.7942719,0.672790746,168.1300722,0.870004437,19.78830757,0.367697651
92,22,10,30,120,30,5.773502692,10,5.773502692,21.54700538,LH,on,iso,obtuse,30-120-30,38.4343,14,AT07,3.9461,-8.4739,335.0296893,9.194862284,254.3383185,5.825381839,0.633547481,80.6913708,136.0890902,0.40554399,147.1019352,0.532867382,9.56729166,0.530177806
93,23,10,45,105,30,7.320508076,10,5.176380902,22.49688898,LH,on,scale,obtuse,45-105-30,32.6478,12,AT07,3.9457,-8.5639,335.2627581,9.267690542,202.497805,7.011723655,0.756577232,132.7649532,156.0408147,0.558875652,156.3094042,0.706068026,-0.194915719,0.386080389
94,24,10,60,90,30,8.660254038,10,5,23.66025404,LH,on,right,right,60-90-30,31.8098,8,AT07,3.9518,-9.2064,336.7688193,9.940498439,188.437525,4.676730578,0.470472442,148.3312943,160.8359747,0.643913889,163.4628256,0.725813503,28.64423779,0.095428213
95,26,10,45,90,45,7.071067812,10,7.071067812,24.14213562,LH,on,iso-right,iso-right,45-90-45,48.9666,19,AT07,6.3224,-7.3653,319.35709,9.701982172,188.5160823,7.415836218,0.764363002,130.8410076,136.3867588,0.566415725,143.2270741,0.689840395,-14.21082524,0.161708667
96,27,10,60,60,60,10,10,10,30,LH,on,equil,acute,60-60-60,53.8593,22,AT07,8.2358,-5.9756,305.9632876,10.26558199,158.7496381,10.40614302,1.013692456,147.2136495,115.7096651,0.744303717,124.5975801,0.85536825,156.333839,0.249056786
97,0,10,60,100,20,8.793852416,10,3.472963553,22.26681597,RH,off,scale,obtuse,60-100-20,39.2601,20,AT09,2.5664,9.1823,195.615372,9.509181175,246.5998154,8.523523595,0.896346745,50.98444348,26.14960068,0.584739147,-8.237716934,0.970716909,77.53567225,0.563182307
98,1,10,30,120,30,5.773502692,10,5.773502692,21.54700538,RH,off,iso,obtuse,30-120-30,43.4485,23,AT09,4.7722,8.1969,210.2077805,9.434909092,238.0763802,7.165718803,0.759489968,27.86859965,11.19151467,0.92917204,6.408189891,0.482216351,54.01463144,0.406303828
99,2,10,45,105,30,7.320508076,10,5.176380902,22.49688898,RH,off,scale,obtuse,45-105-30,85.8927,3,AT09,4.847,8.6465,209.273841,9.894361224,282.2412765,8.76437202,0.885794628,72.96743547,20.87091941,0.708967963,-14.06548822,0.826870263,63.40261897,0.535518874
100,3,10,60,90,30,8.660254038,10,5,23.66025404,RH,off,right,right,60-90-30,37.1165,21,AT09,4.4855,8.5874,207.579643,9.671911507,283.2533831,9.176259727,0.948753483,75.67374012,20.00249952,0.755064198,25.47256708,0.408570649,61.49888293,0.667893516
101,4,10,60,75,45,8.965754722,10,7.320508076,26.2862628,RH,off,scale,acute,60-75-45,44.3431,14,AT09,6.732,6.9431,224.1156058,9.694258646,278.0249585,12.55911845,1.295521288,53.90935264,29.99860315,0.877409315,-4.616663761,0.881000215,51.44246383,0.814091984
102,5,10,45,90,45,7.071067812,10,7.071067812,24.14213562,RH,off,iso-right,iso-right,45-90-45,60.28,4,AT09,6.4242,6.8452,223.1827788,9.384517202,267.7558764,4.580806472,0.488123829,44.57309756,19.30379747,1.026374585,9.303973525,0.594683582,47.13999416,0.75304893
