,Triangle_index,Size,Angle.C,Angle.B,Angle.A,Side.A_B,SideC_A,Side.B_C,Total_size,Hand,Vision,Type,Angle.Type,Full.Type,duration,Trial_number,subjID,subjposC_x,subjposC_y,AC_angle,AC_dist,SubjAC_angle,SubjAC_dist,DistError,AngleError,M1AE,M1DE,M2AE,M2DE,EEMAE,EEMDE
140,18,10,60,75,45,8.965754722,10,7.320508076,26.2862628,RH,on,scale,acute,60-75-45,36.1665,15,AT10,7.1438,6.9919,225.6156677,10.05771531,14.62536934,5.419868633,0.538876719,149.0097016,127.3834825,0.394275275,168.1496374,0.679137236,-21.31523469,0.104116869
141,19,10,45,90,45,7.071067812,10,7.071067812,24.14213562,RH,on,iso-right,iso-right,45-90-45,41.0584,23,AT10,6.1296,6.8099,221.9904197,9.162212924,201.8997863,6.956013355,0.759206691,-20.09063344,65.36351559,0.321388377,166.8084433,0.598263303,46.52164348,0.137500921
142,20,10,60,60,60,10,10,10,30,RH,on,equil,acute,60-60-60,47.6263,22,AT10,8.3505,4.7978,240.1203743,9.657320747,216.9714756,6.642909628,0.687862587,-23.14889871,71.31235347,0.667886263,163.546776,0.503042935,-25.93864732,0.097686306
143,21,10,60,100,20,8.793852416,10,3.472963553,22.26681597,LH,on,scale,obtuse,60-100-20,28.7831,10,AT10,2.9091,-9.189,342.4329916,9.586341762,328.0240125,5.315233146,0.554458967,14.40897907,150.7846501,0.246565162,164.5546036,0.70147376,38.79100242,0.176832637
144,22,10,30,120,30,5.773502692,10,5.773502692,21.54700538,LH,on,iso,obtuse,30-120-30,34.8701,5,AT10,4.4936,-8.9418,333.3187044,10.03226094,164.9285118,4.692575763,0.467748575,168.3901926,53.34427919,0.157546764,171.7457581,0.601992356,78.31977812,0.181246761
145,23,10,45,105,30,7.320508076,10,5.176380902,22.49688898,LH,on,scale,obtuse,45-105-30,27.7772,9,AT10,4.5681,-8.7724,332.4924074,9.772087221,165.9373251,6.288803833,0.643547657,166.5550823,113.4072909,0.204574558,178.7639731,0.64012382,32.49961615,0.232252463
146,24,10,60,90,30,8.660254038,10,5,23.66025404,LH,on,right,right,60-90-30,32.3463,28,AT10,4.2023,-9.0121,335.0005809,9.920877532,187.3787081,6.277939768,0.632800853,147.6218728,118.5932997,0.331911652,170.2319624,0.638412797,33.56017123,0.134639495
147,25,10,60,75,45,8.965754722,10,7.320508076,26.2862628,LH,on,scale,acute,60-75-45,37.7859,12,AT10,6.5122,-7.266,318.1315081,9.805879044,257.5456607,7.041921733,0.718132633,60.5858474,134.3529901,0.197121451,162.4341674,0.624977643,-13.53449981,0.118388194
148,26,10,45,90,45,7.071067812,10,7.071067812,24.14213562,LH,on,iso-right,iso-right,45-90-45,33.6097,19,AT10,6.5137,-7.7331,319.8920887,10.10496172,165.195861,4.732392073,0.468323602,154.6962277,98.07955457,0.344854541,164.7848844,0.609467305,0.184105824,0.145975383
149,27,10,60,60,60,10,10,10,30,LH,on,equil,acute,60-60-60,46.8443,21,AT10,8.11,-5.5656,304.4604019,9.856032043,259.3475822,11.37960388,1.154582679,45.11281969,100.7091679,0.376989737,153.7411,0.691714286,-1.135343671,0.156143583
