"","Triangle_index","Size","Angle.C","Angle.B","Angle.A","Side.A_B","SideC_A","Side.B_C","Total_size","Hand","Vision","Type","Angle.Type","Full.Type","duration","Trial_number","subjID","DistError","AngleError","M1AE","M1DE","M2AE","M2DE","EEMAE","EEMDE"
"98",1,10,30,120,30,5.773502692,10,5.773502692,21.54700538,"RH","off","iso","obtuse","30-120-30",43.4485,23,"AT09",0.759489968,27.86859965,11.1915146719433,0.929172039607843,6.40818989069345,0.482216350728462,54.0146314363517,0.406303828024683
"99",2,10,45,105,30,7.320508076,10,5.176380902,22.49688898,"RH","off","scale","obtuse","45-105-30",85.8927,3,"AT09",0.885794628,72.96743547,20.8709194060278,0.7089679628964,-14.0654882228386,0.826870263108976,63.4026189684997,0.535518874489236
"100",3,10,60,90,30,8.660254038,10,5,23.66025404,"RH","off","right","right","60-90-30",37.1165,21,"AT09",0.948753483,75.67374012,20.0024995209073,0.755064198043997,25.4725670825427,0.408570649422683,61.4988829273512,0.667893515604708
"101",4,10,60,75,45,8.965754722,10,7.320508076,26.2862628,"RH","off","scale","acute","60-75-45",44.3431,14,"AT09",1.295521288,53.90935264,29.9986031531385,0.877409315340248,-4.61666376138945,0.881000214563187,51.4424638250693,0.814091983675076
"102",5,10,45,90,45,7.071067812,10,7.071067812,24.14213562,"RH","off","iso-right","iso-right","45-90-45",60.28,4,"AT09",0.488123829,44.57309756,19.303797465021,1.02637458503317,9.30397352483556,0.594683581555235,47.1399941643637,0.753048929869913
"103",6,10,60,60,60,10,10,10,30,"RH","off","equil","acute","60-60-60",46.4879,18,"AT09",0.844161601,8.017526278,33.1381481001826,1.06950465577702,5.61167912929238,0.90373057067012,35.3725038457565,0.944973632965822
"104",9,10,45,105,30,7.320508076,10,5.176380902,22.49688898,"LH","off","scale","obtuse","45-105-30",78.5984,2,"AT09",0.930420527,24.78485003,14.1976211644939,0.790364757490028,-7.71956833195441,0.553524374355104,58.2850586981353,0.422244401747375
"105",10,10,60,90,30,8.660254038,10,5,23.66025404,"LH","off","right","right","60-90-30",49.5251,8,"AT09",1.010783117,10.97978447,30.0474293252327,0.659315555353117,-11.8300361938093,0.813755479450548,64.3999786166,0.655908104484375
"106",11,10,60,75,45,8.965754722,10,7.320508076,26.2862628,"LH","off","scale","acute","60-75-45",49.8479,24,"AT09",0.911678932,58.24988438,34.2619298592288,0.823432166817642,-5.56416036766279,0.764989123770784,51.7311164727487,0.816019634765621
"107",12,10,45,90,45,7.071067812,10,7.071067812,24.14213562,"LH","off","iso-right","iso-right","45-90-45",494.948,16,"AT09",0.934907513,31.7339163,17.1621854735119,0.854691542399316,17.1854140796753,1.04176582185318,44.4603593644552,0.676191949396819
"108",13,10,60,60,60,10,10,10,30,"LH","off","equil","acute","60-60-60",73.1382,1,"AT09",0.781977713,10.73145549,29.0493995842524,0.906420282803652,24.7635853283731,0.928145741995395,31.4638955993769,0.94302512010984
"109",14,10,60,100,20,8.793852416,10,3.472963553,22.26681597,"RH","on","scale","obtuse","60-100-20",26.7501,11,"AT09",0.900990052,20.45595032,6.95997624853064,0.595389765500491,26.9681142252559,0.80144404151227,73.7509627137524,0.623604622221116
